,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
400,253,0,0,0,196,0
401,253,0,0,0,146,0
402,253,0,0,0,115,0
403,254,0,0,1,218,1
404,253,0,1,0,164,-1
405,254,0,0,1,143,1
406,252,2,0,0,195,-2
407,254,0,0,2,145,2
408,254,0,0,0,160,0
409,254,0,0,0,190,0
410,254,0,0,0,192,0
411,254,0,0,0,128,0
412,253,1,0,0,162,-1
413,253,0,0,0,165,0
414,252,0,1,0,152,-1
415,251,1,0,0,156,-1
416,253,0,0,2,123,2
417,253,0,0,0,171,0
418,252,0,1,0,131,-1
419,252,0,0,0,165,0
420,251,1,0,0,196,-1
421,251,0,0,0,152,0
422,250,0,1,0,128,-1
423,251,0,0,1,131,1
424,254,0,0,3,204,3
425,253,0,2,1,190,-1
426,254,0,0,1,134,1
427,256,0,0,2,145,2
428,256,0,0,0,123,0
429,258,0,0,2,178,2
430,257,1,0,0,131,-1
431,256,1,0,0,166,-1
432,256,1,0,1,201,0
433,256,0,0,0,192,0
434,255,0,1,0,141,-1
435,256,0,0,1,109,1
436,256,0,0,0,172,0
437,256,0,0,0,201,0
438,256,0,0,0,150,0
439,256,0,0,0,154,0
440,257,0,0,1,192,1
441,257,0,0,0,173,0
442,256,0,1,0,144,-1
443,256,0,0,0,163,0
444,257,0,0,1,125,1
445,259,0,0,2,170,2
446,260,0,0,1,196,1
447,260,0,0,0,154,0
448,259,0,1,0,115,-1
449,259,0,0,0,176,0
450,259,0,0,0,198,0
451,260,0,0,1,155,1
452,260,0,0,0,133,0
453,262,0,0,2,219,2
454,262,0,0,0,157,0
455,263,0,0,1,150,1
456,263,0,0,0,117,0
457,264,0,0,1,187,1
458,264,0,0,0,141,0
459,265,0,0,1,207,1
460,266,0,0,1,174,1
461,266,0,1,1,163,0
462,266,0,0,0,135,0
463,265,1,0,0,213,-1
464,263,1,1,0,196,-2
465,260,0,3,0,144,-3
466,260,0,0,0,122,0
467,260,0,0,0,213,0
468,261,0,0,1,192,1
469,260,0,1,0,145,-1
470,260,0,0,0,170,0
471,260,0,0,0,112,0
472,260,0,0,0,171,0
473,259,0,1,0,205,-1
474,259,0,0,0,196,0
475,259,0,0,0,143,0
476,259,0,0,0,128,0
477,259,0,0,0,140,0
478,259,0,0,0,181,0
479,259,0,0,0,200,0
480,259,1,0,1,154,0
481,257,1,1,0,171,-2
482,258,0,0,1,115,1
483,258,0,0,0,160,0
484,257,1,0,0,126,-1
485,256,1,0,0,169,-1
486,256,0,1,1,153,0
487,255,1,0,0,168,-1
488,255,0,0,0,133,0
489,255,0,0,0,166,0
490,255,0,0,0,168,0
491,256,0,0,1,205,1
492,256,0,1,1,139,0
493,257,0,0,1,144,1
494,256,0,1,0,130,-1
495,256,0,0,0,167,0
496,256,0,0,0,191,0
497,256,0,0,0,154,0
498,256,0,0,0,154,0
499,255,0,1,0,197,-1
500,256,0,0,1,150,1
501,256,0,0,0,131,0
502,256,0,0,0,174,0
503,256,0,0,0,141,0
504,256,0,0,0,163,0
505,257,0,0,1,189,1
506,257,1,0,1,163,0
507,257,0,0,0,148,0
508,256,1,0,0,161,-1
509,256,1,0,1,137,0
510,255,0,1,0,169,-1
511,255,0,0,0,140,0
512,254,0,1,0,164,-1
513,254,0,0,0,129,0
514,255,0,0,1,163,1
515,257,0,0,2,198,2
516,257,0,0,0,201,0
517,257,0,0,0,142,0
518,260,0,0,3,135,3
519,259,1,0,0,185,-1
520,258,0,1,0,153,-1
521,259,0,0,1,167,1
522,259,0,0,0,204,0
523,258,1,1,1,137,-1
524,258,0,0,0,125,0
525,256,0,2,0,124,-2
526,257,0,0,1,209,1
527,256,1,0,0,182,-1
528,257,0,0,1,147,1
529,257,0,0,0,120,0
530,258,0,0,1,158,1
531,260,0,0,2,207,2
532,259,0,1,0,153,-1
533,259,0,0,0,128,0
534,260,0,0,1,144,1
535,260,0,1,1,205,0
536,259,2,0,1,200,-1
537,259,0,0,0,142,0
538,260,0,0,1,151,1
539,260,0,1,1,173,0
540,261,0,0,1,138,1
541,261,1,0,1,124,0
542,261,0,0,0,143,0
543,261,0,0,0,210,0
544,260,0,1,0,160,-1
545,260,0,0,0,144,0
546,261,0,0,1,115,1
547,261,0,0,0,184,0
548,261,0,0,0,161,0
549,260,1,0,0,202,-1
550,260,0,0,0,192,0
551,258,1,1,0,164,-2
552,257,1,0,0,150,-1
553,257,0,0,0,130,0
554,257,0,0,0,179,0
555,256,1,0,0,139,-1
556,256,1,0,1,161,0
557,255,0,1,0,201,-1
558,255,0,0,0,150,0
559,256,0,0,1,152,1
560,257,0,0,1,202,1
561,257,0,0,0,160,0
562,258,0,0,1,156,1
563,258,0,0,0,131,0
564,258,0,0,0,179,0
565,259,0,0,1,135,1
566,260,0,0,1,175,1
567,261,0,0,1,198,1
568,262,0,0,1,184,1
569,261,1,0,0,146,-1
570,259,1,1,0,121,-2
571,260,1,0,2,146,1
572,260,0,0,0,198,0
573,260,0,0,0,163,0
574,260,0,0,0,151,0
575,258,1,1,0,130,-2
576,258,0,0,0,183,0
577,259,0,0,1,144,1
578,259,0,0,0,206,0
579,259,1,0,1,192,0
580,259,0,0,0,162,0
581,259,0,0,0,147,0
582,259,1,0,1,159,0
583,259,0,0,0,168,0
584,256,2,1,0,140,-3
585,256,0,0,0,143,0
586,256,0,0,0,149,0
587,256,1,0,1,205,0
588,257,0,0,1,158,1
589,257,0,0,0,162,0
590,256,1,0,0,205,-1
591,257,0,0,1,149,1
592,257,0,0,0,154,0
593,256,1,0,0,212,-1
594,257,0,0,1,152,1
595,257,0,0,0,162,0
596,257,0,0,0,136,0
597,259,0,0,2,179,2
598,259,0,0,0,190,0
599,259,0,0,0,161,0
600,259,0,0,0,153,0
601,261,0,0,2,202,2
602,263,0,0,2,165,2
603,264,0,0,1,147,1
604,264,0,0,0,148,0
605,264,0,0,0,140,0
606,265,0,0,1,145,1
607,265,0,1,1,184,0
608,267,0,0,2,168,2
609,266,0,1,0,153,-1
610,267,0,0,1,219,1
611,268,0,0,1,186,1
612,266,0,2,0,144,-2
613,267,0,0,1,124,1
614,270,0,0,3,187,3
615,270,0,0,0,137,0
616,270,0,0,0,182,0
617,271,0,1,2,205,1
618,270,1,0,0,170,-1
619,270,0,0,0,169,0
620,271,0,0,1,217,1
621,272,0,0,1,169,1
622,274,0,0,2,122,2
623,273,1,0,0,131,-1
624,275,0,0,2,200,2
625,274,0,1,0,166,-1
626,274,0,0,0,167,0
627,274,0,0,0,202,0
628,274,0,0,0,199,0
629,275,0,0,1,166,1
630,274,0,1,0,158,-1
631,275,0,0,1,216,1
632,275,0,0,0,154,0
633,275,0,0,0,167,0
634,275,0,0,0,186,0
635,275,0,0,0,143,0
636,274,1,0,0,129,-1
637,275,0,0,1,155,1
638,274,0,1,0,215,-1
639,274,1,0,1,165,0
640,274,0,0,0,158,0
641,274,0,0,0,130,0
642,273,1,0,0,176,-1
643,273,0,0,0,142,0
644,273,1,0,1,183,0
645,272,0,1,0,204,-1
646,272,0,0,0,207,0
647,274,1,0,3,164,2
648,275,0,0,1,171,1
649,274,1,0,0,218,-1
650,272,1,1,0,166,-2
651,273,0,0,1,151,1
652,272,1,1,1,169,-1
653,274,0,0,2,138,2
654,275,0,0,1,183,1
655,277,0,0,2,148,2
656,277,0,0,0,184,0
657,277,0,0,0,189,0
658,277,0,1,1,219,0
659,280,0,0,3,151,3
660,282,0,0,2,170,2
661,282,0,0,0,125,0
662,281,0,1,0,161,-1
663,282,0,0,1,229,1
664,284,0,0,2,185,2
665,285,0,0,1,142,1
666,287,0,0,2,131,2
667,287,0,0,0,175,0
668,286,1,0,0,215,-1
669,287,0,0,1,173,1
670,287,0,0,0,172,0
671,287,0,0,0,231,0
672,287,1,0,1,161,0
673,288,0,0,1,135,1
674,287,2,0,1,145,-1
675,287,0,0,0,207,0
676,287,0,0,0,172,0
677,287,0,0,0,173,0
678,289,0,0,2,185,2
679,289,1,0,1,211,0
680,291,0,0,2,167,2
681,289,0,2,0,180,-2
682,287,2,0,0,225,-2
683,286,1,0,0,208,-1
684,286,0,0,0,147,0
685,287,0,1,2,124,1
686,286,0,3,2,159,-1
687,286,0,0,0,189,0
688,286,1,0,1,189,0
689,286,0,0,0,208,0
690,286,0,0,0,171,0
691,287,0,0,1,168,1
692,287,0,0,0,148,0
693,287,0,0,0,204,0
694,286,1,0,0,183,-1
695,284,0,2,0,166,-2
696,284,0,0,0,174,0
697,284,0,0,0,217,0
698,283,0,1,0,206,-1
699,282,0,1,0,159,-1
700,283,0,0,1,192,1
701,285,0,0,2,133,2
702,285,0,0,0,159,0
703,285,1,0,1,218,0
704,284,1,0,0,163,-1
705,284,0,0,0,123,0
706,283,0,1,0,211,-1
707,283,0,0,0,171,0
708,284,0,0,1,162,1
709,282,1,1,0,229,-2
710,281,1,0,0,158,-1
711,282,0,0,1,131,1
712,282,0,0,0,182,0
713,282,0,1,1,213,0
714,281,1,0,0,152,-1
715,281,0,0,0,171,0
716,281,0,0,0,147,0
717,281,0,0,0,159,0
718,281,0,0,0,143,0
719,281,0,0,0,192,0
720,280,0,1,0,206,-1
721,280,1,0,1,159,0
722,279,0,1,0,166,-1
723,281,0,0,2,218,2
724,282,0,0,1,167,1
725,282,1,1,2,126,0
726,282,0,0,0,199,0
727,284,0,0,2,141,2
728,285,0,0,1,178,1
729,286,0,0,1,133,1
730,286,0,0,0,222,0
731,287,0,0,1,176,1
732,287,0,0,0,148,0
733,288,0,0,1,225,1
734,288,0,0,0,164,0
735,287,1,0,0,148,-1
736,286,1,0,0,132,-1
737,289,0,0,3,185,3
738,290,0,0,1,177,1
739,289,1,0,0,175,-1
740,290,0,1,2,179,1
741,289,0,1,0,181,-1
742,289,0,0,0,173,0
743,290,0,0,1,220,1
744,290,0,1,1,168,0
745,289,0,1,0,170,-1
746,290,0,0,1,222,1
747,290,1,0,1,204,0
748,290,0,0,0,165,0
749,289,0,1,0,131,-1
750,287,1,1,0,245,-2
751,286,0,1,0,197,-1
752,285,0,1,0,136,-1
753,285,0,0,0,130,0
754,285,0,0,0,166,0
755,287,0,0,2,167,2
756,286,1,0,0,216,-1
757,288,0,0,2,162,2
